Username,Genre,Followers,Likes,Plays,Reposts,Comments
 Travis Scott ,Rap,1687241,283258,22202285,19889,1674
 Travis Scott ,Rap,1687241,552159,40371781,45297,2390
 Travis Scott ,Rap,1687241,173082,16729809,12192,1299
 Travis Scott ,Rap,1687241,1037646,79783487,87815,6772
 Travis Scott ,Rap,1687241,206304,18973323,16221,942
 Travis Scott ,Rap,1687241,440641,33191677,30631,1972
 Travis Scott ,Rap,1687241,90713,10064684,5701,524
 Travis Scott ,Rap,1687241,428874,29561469,36093,1769
 Travis Scott ,Rap,1687241,109045,10989645,7950,630
 Travis Scott ,Rap,1687241,203238,15838131,15746,1135
 Travis Scott ,Rap,1687241,175108,12840073,13690,723
 Travis Scott ,Rap,1687241,61763,6046125,4051,277
 Post Malone ,Rap,1600825,574298,43321629,54295,2157
Trippie Redd,Rap,1298038,35882,2286902,1729,189
 Kodak Black ,Rap,1292280,32776,2967997,2248,622
 Kodak Black ,Rap,1292280,340526,26776795,18621,883
 Kodak Black ,Rap,1292280,336913,21370960,22392,1138
 Kodak Black ,Rap,1292279,728830,64951514,34762,4106
 Kodak Black ,Rap,1292279,1152540,89874453,68122,6801
 Kodak Black ,Rap,1292279,901129,73702105,54199,5351
 Kodak Black ,Rap,1292278,18789,2457524,1086,59
 Migos ,Rap,1166023,828,59183,41,2
 Migos ,Rap,1166022,37431,2011915,4365,152
 Migos ,Rap,1166022,669524,44473669,44695,3710
 Migos ,Rap,1166022,2596212,20470059,168858,28633
 Migos ,Rap,1166022,377943,28623849,19604,1260
 Migos ,Rap,1166022,114893,7863564,17570,1050
 $UICIDEBOY$ ,Rap,1158530,296317,23697306,23535,1610
 SKI MASK THE SLUMP GOD ,Rap,1142016,530600,37460762,26080,4200
 SKI MASK THE SLUMP GOD ,Rap,1142016,57755,3527274,2750,260
 SKI MASK THE SLUMP GOD ,Rap,1142016,77246,4097198,5460,320
 SKI MASK THE SLUMP GOD ,Rap,1142016,79353,4716952,4147,442
